geneset_name	geneset_genes	geneset_size
Notch signaling (GO:0007219)	DLL1,DTX1,JAG1,JAG2,ADAM10,PSEN1,PSEN2,PSENEN	8
Hippo signaling (GO:0035329)	LATS2,MOB1B,MOB1A,SAV1,STK3,STK4,TAZ,YAP1,MST1,WWTR1	10
DNA base excision repair (GO:0006281)	UNG,SMUG1,MBD4,TDG,OGG1,MUTYH,NTHL1,MPG,NEIL1,NEIL2,NEIL3	11
DNA strand break joining (GO:0006281)	APEX1,APEX2,LIG3,XRCC1,PNKP,APLF	6
Poly(ADP-ribose) polymerase (PARP) (GO:0006281)	PARP1,PARP2,PARP3	3
Direct reversal of DNA damage (GO:0006281)	MGMT,ALKBH2,ALKBH3	3
Repair of DNA-topoisomerase crosslinks (GO:0006281)	TDP1,TDP2	2
Mismatch excision repair (GO:0006281)	MSH2,MSH3,MSH6,MLH1,PMS2,MSH4,MSH5,MLH3,PMS1,PMS2L3	10
Nucleotide excision repair (GO:0006281)	XPC,RAD23B,CETN2,RAD23A,XPA,DDB1,DDB2,RPA1,RPA2,RPA3,TFIIH,ERCC3,ERCC2,GTF2H1,GTF2H2,GTF2H3,HTF2H4,GTF2H5,CDK7,CCNH,MNAT1,ERCC5,34CC1,ERCC4,LIG1,NER-related,ERCC8,E4CC6,UVSSA,XAB2,MMS19	31
Homologous recombination (GO:0006281)	RAD51,RAD51B,RAD51D,DMC1,XRCC2,XRCC3,RAD52,RAD54L,RAD54B,BRCA1,SHFM1,RAD50,MRE11A,NBN,RBBP8,MUS81,EME1,EME2,GIYD1,GIYD2,GEN1	21
Fanconi anemia (GO:0006281)	FANCA,FANCB,FANCC,BRCA2,FANCD2,FANCE,FANCF,FANCG,FANCI,BRIP1,FANCL,FANCM,PALB2,RAD51C,BTBD12,FAAP20,FAAP24	17
Non-homologous DNA end-joining (GO:0006281)	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,DCLRE1C,NHEJ1	7
Modulation of nucleotide pools (GO:0006281)	NUDT1,DUT,RRM2B	3
DNA polymerase (GO:0006281)	POLB,POLG,POLD1,POLE,PCNA,REV3L,MAD2L2,REV1L,POLH,POLI,POLQ,POLK,POLL,POLM,POLN	15
Editing and processing nucleases (GO:0006281)	FEN1,FAN1,TREX1,TREX2,EXO1,APTX,SPO11,ENDOV	8
Ubiquitination and modification (GO:0006281)	UBE2A,UBE2B,RAD18,SHPRH,HLTF,RNF168,SPRTN,RNF8,RNF4,UBE2V2,UBE2N	11
Chromatin structure and modification (GO:0006281)	H2AFX,CHAF1A,SETMAR	3
Sensitivity to DNA damaging agents (GO:0006281)	BLM,WRN,RECQL4,ATM,TTDN1	5
Known/suspected DNA repair function (GO:0006281)	DCLRE1A,DCLRE1B,RPA4,PRPF19,RECQL,RECQL5,HELQ,RDM1,OBFC2B	9
Conserved DNA damage response (GO:0006281)	ATR,ATRIP,MDC1,RAD1,RAD9A,HUS1,RAD17,CHEK1,CHEK2,TP53,TP53BP1,RIF1,TOPBP1,CLK2,PER1	15
